id,titulo,imagen,imagenes,categoria_id,categoria_nombre,subcategoria_id,subcategoria_nombre,producto_descripcion,precio
K-CAT-CHAF-DLX-RA2301A,CHAFER DELUXE RECTANGULAR DE 9LTS,https://kossino.com/wp-content/uploads/2024/01/E1104.webp,,BANQUETES,BANQUETES,BANQUETES,BANQUETES,"MATERIAL: Acero inoxidable

CAPACIDAD: 9lts",1600
CAT-CHAF-DLX-RA2101B,CHAFER DELUXE REDONDO DE 6LTS,https://kossino.com/wp-content/uploads/2024/01/roll-top-round-chafer-600x600.jpg,,BANQUETES,BANQUETES,BANQUETES,BANQUETES,"MATERIAL: Acero inoxidable

CAPACIDAD: 6lts",1250
K-CAT-CHAF-ECO-WH433B,CHAFER DELUXE REDONDO DE 6LTS,https://kossino.com/wp-content/uploads/2024/01/WhatsApp-Image-2024-04-01-at-9.03.01-PM.jpeg,,BANQUETES,BANQUETES,BANQUETES,BANQUETES,"MATERIAL: Acero inoxidable

CAPACIDAD: 9lts",450
K-CAT-CHAF-REP-GAS,RECIPIENTE PARA LATA DE GAS,https://kossino.com/wp-content/uploads/2024/01/CDB0002-1-1.jpg,,BANQUETES,BANQUETES,BANQUETES,BANQUETES,MATERIAL: Acero inoxidable,40
K-BAR-MAT-MINI-12X12,MAT MODULAR CUADRADO DE 12X12″,https://kossino.com/wp-content/uploads/2024/11/1828990.webp,,BAR,BAR,ACCESORIOS_PARA_BARRA,ACCESORIOS PARA BARRA,"MEDIDAS: 12X12″ / 30X30cm

MATERIAL: TPR",45
K-BAR-ORGANIZADOR-4DIV,ORGANIZADOR DE 4 ESPACIOS,https://kossino.com/wp-content/uploads/2023/01/17004-2.jpg,,BAR,BAR,ACCESORIOS_PARA_BARRA,ACCESORIOS PARA BARRA,"MEDIDAS: 50 X 16 X 9CM

MATERIAL: Policarbonato + Plastico + ABS",199
K-BAR-CADDY,CADDY PARA BARRA,https://kossino.com/wp-content/uploads/2023/01/2360634.webp,,BAR,BAR,ACCESORIOS_PARA_BARRA,ACCESORIOS PARA BARRA,"MEDIDAS: 24 X 15 X 10.5CM

MATERIAL: ABS",50
K-BAR-ESCARCHAR-3DIV,ESCARCHADOR DE 3 DIVISIONES,https://kossino.com/wp-content/uploads/2023/01/2269812.webp,,BAR,BAR,ACCESORIOS_PARA_BARRA,ACCESORIOS PARA BARRA,"MEDIDAS: 20 X 16 X 7CM

MATERIAL: ABS",79
K-BAR-ESCARCHAR-ESPONJA,ESPONJA PARA ESCARCHADOR,https://kossino.com/wp-content/uploads/2025/04/2085249.webp,,BAR,BAR,ACCESORIOS_PARA_BARRA,ACCESORIOS PARA BARRA,MEDIDA: 14.5cm diametro,10
K-BAR-COLGADOR-AZUL,COLGADOR DE BOTELLAS AZUL (5 UNIDADES),https://kossino.com/wp-content/uploads/2023/12/s-l1200-1-600x600.jpg,,BAR,BAR,ACCESORIOS_PARA_BARRA,ACCESORIOS PARA BARRA,"MEDIDAS: 6 X 4 X 8.8cm

MATERIAL: Plástico",75
K-BAR-COLGADOR-MORADO,COLGADOR DE BOTELLAS ROSADO (5 UNIDADES),https://kossino.com/wp-content/uploads/2023/12/716746400_max-600x600.jpg,,BAR,BAR,ACCESORIOS_PARA_BARRA,ACCESORIOS PARA BARRA,"MEDIDAS: 6 X 4 X 8.8cm

MATERIAL: Plástico",75
K-BAR-COLGADOR-NARANJA,COLGADOR DE BOTELLAS NARANJA (5 UNIDADES),https://kossino.com/wp-content/uploads/2023/12/716746400_max.jpg,,BAR,BAR,ACCESORIOS_PARA_BARRA,ACCESORIOS PARA BARRA,"MEDIDAS: 6 X 4 X 8.8cm

MATERIAL: Plástico",75
K-BAR-COLGADOR-BLANCO,COLGADOR DE BOTELLAS BLANCO,https://kossino.com/wp-content/uploads/2023/12/716746400_max.jpg,,BAR,BAR,ACCESORIOS_PARA_BARRA,ACCESORIOS PARA BARRA,"MEDIDAS: 6 X 4 X 8.8cm

MATERIAL: Plástico",75
K-BAR-COLGADOR-VERDE,COLGADOR DE BOTELLAS VERDE,https://kossino.com/wp-content/uploads/2023/12/716746400_max-600x600.jpg,,BAR,BAR,ACCESORIOS_PARA_BARRA,ACCESORIOS PARA BARRA,"MEDIDAS: 6 X 4 X 8.8cm

MATERIAL: Plástico",75
K-BAR-MAT-CUAD-45X31,BAR MAT CUADRADO DE 45X31CM,https://kossino.com/wp-content/uploads/2023/01/Facmogu-Heavy-Duty-Bar-Mat-2-600x600.jpg,,BAR,BAR,ACCESORIOS_PARA_BARRA,ACCESORIOS PARA BARRA,"MEDIDAS: 45 X 31 X 1CM

MATERIAL: PVC",99
K-BAR-MAT-SLIM-SHORT,BAR MAT SLIM DE 62X9CM,https://kossino.com/wp-content/uploads/2023/01/71306_large-1.jpg,,BAR,BAR,ACCESORIOS_PARA_BARRA,ACCESORIOS PARA BARRA,"MEDIDAS: 62 X 9 X 2.2CM

MATERIAL: PVC",49
 K-BAR-MAT-SLIM-LARGE,BAR MAT SLIM DE 69X8.5CM,https://kossino.com/wp-content/uploads/2023/01/barconic-barmat-scene1_512x512.webp,,BAR,BAR,ACCESORIOS_PARA_BARRA,ACCESORIOS PARA BARRA,"MEDIDAS: 69 X 8.5 X 1.6CM

MATERIAL: PVC",59
K-BAR-MIXER-0.5L-AMA,BOTELLA MIXER AMARILLA DE 0.5L,https://kossino.com/wp-content/uploads/2023/01/H0625695acec444ff9f51f66ad0cbb1007.jpg_-600x600.webp,,BAR,BAR,ACCESORIOS_PARA_BARRA,ACCESORIOS PARA BARRA,"ALTURA: 23CM

CAPACIDAD: 0.5 litros

MATERIAL: Plastico y poliestireno",29
